filename,rows,bytes,sha256
validation_sampling_epoch_0001.jsonl,1122,94290,3187cb45940790358824c1d3964c1796d1f06f7ac916d4a3eb59f0bf4b8243b1
validation_sampling_epoch_0002.jsonl,1122,94173,c6bf9c23b7ef78ea9b1ed77ca4964d3b920ec5911c51db6266dbb8135475a5fa
validation_sampling_epoch_0003.jsonl,1122,94224,5f91e0c64532ddefb0b21e2509c8e5f7b18a214ae70119576af969c30eab26d5
validation_sampling_epoch_0004.jsonl,1122,94302,ab4e872257799971f5d5b56b938db867a4a0cfcb2fa6c3cd7254c5791f5b6969
validation_sampling_epoch_0005.jsonl,1122,94260,49d9aedd20f7ce766e8d4a5e1ae962368ba1def7604a69f54c739d4463eb0c58
validation_sampling_epoch_0006.jsonl,1122,94239,68042e08c592b200b8b2a47f734cb83a213c9a1afc4ba2690d7c2b26372695d3
validation_sampling_epoch_0007.jsonl,1122,94194,d4e5c526eb09d3119eca2c4c4f8fe97caaa3a54d882b5a07a28a3d84aa995f28
validation_sampling_epoch_0008.jsonl,1122,94143,9a546d6140090dbf711bbdcf6050b8fe51867ed91c3d354dd3536820c0ee9bd7
validation_sampling_epoch_0009.jsonl,1122,94179,913a64fc4c955ad0d3f9b1f7c4b14e66faa74f6377b7670a0068b5884ae0d793
validation_sampling_epoch_0010.jsonl,1122,94212,e01bc922356ac3ef984f3282909665ec8f6058d8978dd1bb05ca62209a0f1a75
validation_sampling_epoch_0011.jsonl,1122,94242,90fe8c5605b4654d9581526682b4dccd36ae081f9bde21adcea305d7183d9c8f
validation_sampling_epoch_0012.jsonl,1122,94143,855ea9327a400426982555d98ba0eec4642f61d05ac1461bd60cb98029149905
validation_sampling_epoch_0013.jsonl,1122,94236,3b5c2ceed9f578ad0bb422e933fa68ceaff937da1ea2fa23db124912478db6f6
validation_sampling_epoch_0014.jsonl,1122,94194,d5a9f83ece1b7bb6e056a172d6f24cac0274d38c3d07a24df63bd33371dac1dd
validation_sampling_epoch_0015.jsonl,1122,94230,8819f1b23b15826364e18e0b43ca6e499ed8938d5d375b18907034aad704f030
validation_sampling_epoch_0016.jsonl,1122,94218,45a9573f267ea49161ac371117a585dd03c23b656e534717981d95c72f083dc0
validation_sampling_epoch_0017.jsonl,1122,94230,91d49044c15dca3911ab5c06ab3f1a815a3393a460afc05e3587ce181e328eee
validation_sampling_epoch_0018.jsonl,1122,94239,8e89081c19c188dd1e92d887454f88267fe8750c1e306192c76188cbfaa88935
validation_sampling_epoch_0019.jsonl,1122,94230,e5ff905ca024b4ae9894060a5c21a06beb8f67490b676ec76277f3e0aa419cdb
