filename,bytes,sha256
md3016-1.txt,13668,b87a5a2fdcf22501368d90d98990f2b6646db4c601b791a048bcc2efebfb2cb9
md3016-2.txt,13580,f7c30ed840d15146776095fdb9a145cf9076cf403b6ff9e38693118949432ba8
md3016-3.txt,13580,2bcb0e3b3a198960f0a13ceedb1ef09e91aa2014728ba75762ba4b51b887ab18
md3027-1.txt,15905,e4ca8161206b03876939f8a32d2c5b164c376510f96f6935b9460d96673eb0f5
md3027-2.txt,15904,daa245c0f0976b673fbe2ac86d7c01911e3f9fcec1592172f3f41f289ef282a9
md3027-3.txt,15904,9cb9ba03e24473eee4848addc03c4416951b72807a8ff0e353ab4f24b8528053
md3034-1.txt,12726,72ba6e529c274856666e45c6f229a6bb873660b6891224beca01e19af8de8127
md3034-2.txt,12726,6a78964640c4d3c81ed7f2e3b6dc536703570265db1302fad1f154d1a7bfe860
md3034-3.txt,12726,e1edbb4d2a765dfda428f8c433f51d5745e9032b33858cf40c074ddd2d441ecd
md3048-1.txt,7481,d96a0f21ad86ac78eef52453e6af2b29e367e65746b8201beb272fe7abadfbe9
md3048-2.txt,7882,9caa6b7df3e2bb89128925d5c4d2f5385bf82e66e988a986f909d548bd8aacf5
md3048-3.txt,7607,bbed58303118947b4cfc576f595061d6574979e46547fc2bf41f8986b88f0951
md3055-1.txt,16226,6a4da49481fbc17c5b3c55f78ed79e45eadd32899eeaace7900470128eb7dec6
md3055-2.txt,15898,2b32ae3c7c350868cd0736f0d6f52f065011d04a29aab2d6db09dd7b748a67f8
md3055-3.txt,16668,32bd2091f0a2dfc9b7861e48f7c819dcee8e626d5338a792300e65c6fce65466
