filename,bytes,sha256
md3016-1.txt,13634,073b65c1e0e7bd96bfe9cad0880ff7471cde3b36566a4ce7b0ec41c55d6d865c
md3016-2.txt,13580,8ce797c723b486176351272e74e241bd392742084855c1a5aba542aec2b0b44f
md3016-3.txt,13580,7c6d3a9a127d3cfa27cd5327a6442ecc0ab75a9cfb79cbc380c2976d9a2460c8
md3027-1.txt,15904,147a1122347ecc124a3c7fdd89d9f5cce1454eac1932a79ac60f2cecf9e15563
md3027-2.txt,15904,07a5cbb1233eba12328ab121d945722808261d057259ba7f5b6c4e603345415c
md3027-3.txt,15904,90c907b6a3247c8032b2b9e16f802a54efe27f11bc896cb2e0d342e90b7b6940
md3034-1.txt,12726,db3d016b230451f70b2797a5b966a1ea8e2be5440f4046445382b4698bc0b934
md3034-2.txt,12726,27e1765db5c15cf13c92480d0852eaefe8c0d66e9bc79c39c985765920b330d8
md3034-3.txt,12726,dec982aa21f8b84ae9849fa92ca19b9cc9d3bcfdde08287cdb1b199703cbb858
md3048-1.txt,7479,06aa0a97200018aea9ef45f036e876c3e5200ece263fd0d5cc7360cee0373ac6
md3048-2.txt,7969,15f6f4c4708830c5cbbddc0307f4660a6e21a539f13f6a89bb6648b6d0b408c5
md3048-3.txt,7680,6693801147a8226f9c83ee5270029accc7dfe21cbc79e0c512b19261bd0eaa34
md3055-1.txt,16226,9a9f0893e40f2ad389614ad00800983c6094fb115e5441b527aba7468e76c1ba
md3055-2.txt,15670,1bab22a3124a0ec3ce0693e603363dbed89e452885ce8144df04e4dd6bc15e37
md3055-3.txt,16642,e9dccefee2bcde548d90bc27014bdc111b21122a8e9a38439acaec2d2260224e
